legislature,session,member_id
41,1,lelievre-gaetan-12229
41,1,lessard-laurent-5921
41,1,marceau-nicolas-7289
41,1,melancon-isabelle-16779
41,1,merlini-richard-5917
41,1,couillard-philippe-5811
41,1,st-pierre-christine-1235
41,1,moreau-pierre-359
41,1,ouimet-francois-857
41,1,ouimet-gilles-12245
41,1,page-sylvain-987
41,1,peladeau-pierre-karl-15419
41,1,plante-marc-h-15405
41,1,rotiroti-filomena-1171
41,1,poeti-robert-12203
41,1,poirier-carole-9
41,1,polo-saul-15407
41,1,proulx-sebastien-5899
41,1,rochon-sylvain-16297
41,1,roy-sylvie-1201
41,1,simard-serge-1239
41,1,simard-caroline-15367
41,1,sklavounos-gerry-1179
41,1,spenard-andre-12211
41,1,surprenant-claude-15377
41,1,therrien-alain-12189
41,1,traversy-mathieu-1303
41,1,tremblay-veronyque-16403
41,1,turcotte-dave-1407
41,1,vallee-stephanie-223
41,1,vallieres-karine-12173
41,1,vien-dominique-191
41,1,villeneuve-andre-97
41,1,weil-kathleen-33
41,1,zakaib-elaine-12197
41,1,st-denis-yves-15355
41,1,gendron-francois-1423
41,1,david-francoise-12205
41,1,matte-michel-39
41,1,menard-nicole-113
41,1,morin-norbert-499
41,1,guilbault-genevieve-16885
41,1,soucy-chantal-15417
41,1,jolin-barrette-simon-15359
41,1,lisee-jean-francois-12169
41,1,picard-marc-655
41,1,laframboise-mario-15357
41,1,montpetit-marie-15369
41,1,gaudreault-maryse-959
41,1,schneeberger-sebastien-5909
41,1,paradis-pierre-1113
41,1,theriault-lise-1355
41,1,lefebvre-eric-16777
41,1,ouellet-martine-8431
41,1,masse-manon-15421
41,1,martel-donald-12165
41,1,berube-pascal-991
41,1,maltais-agnes-57
41,1,bonnardel-francois-11
41,1,fortin-andre-15383
41,1,roberge-jean-francois-15361
41,1,roy-nathalie-12187
41,1,d-amours-sylvie-15399
42,1,roy-sylvain-12163
42,1,robitaille-paule-17841
42,1,ouellet-martin-16495
42,1,ouellette-guy-549
42,1,tardif-denis-17863
42,1,proulx-marie-eve-17915
42,1,birnbaum-david-15371
42,1,richard-lorraine-287
42,1,sauve-monique-16493
42,1,samson-claire-15409
42,1,proulx-caroline-17837
42,1,caire-eric-485
42,1,rousselle-jean-12167
42,1,paradis-francois-15725
42,1,lamothe-denis-17901
42,1,skeete-christopher-17873
42,1,reid-claude-17833
42,1,levesque-mathieu-17851
42,1,laforest-andree-17913
42,1,charette-benoit-195
42,1,girard-eric-17957
42,1,legault-francois-4131
42,1,allaire-simon-17941
42,1,lemay-mathieu-15403
42,1,rouleau-chantal-17931
42,1,guillemette-nancy-18247
42,1,hebert-genevieve-17877
42,1,lemieux-louis-17879
42,1,carmant-lionel-17893
42,1,asselin-mario-17905
42,1,provencal-luc-17829
42,1,tanguay-marc-11789
42,1,lamontagne-andre-15401
42,1,nichols-marie-claude-15439
42,1,lacombe-mathieu-17927
42,1,caron-vincent-17849
42,1,nadeau-dubois-gabriel-16827
42,1,anglade-dominique-16499
42,1,arcand-pierre-421
42,1,barrette-gaetan-15397
42,1,blais-marguerite-1263
42,1,boutin-joelle-18561
42,1,campeau-richard-17843
42,1,charbonneau-francine-635
42,1,chasse-mariechantal-17865
42,1,dansereau-suzanne-17907
42,1,david-helene-15379
42,1,foster-emilie-17861
42,1,fournier-catherine-16775
42,1,gaudreault-sylvain-1001
42,1,girault-nadine-17839
42,1,hivon-veronique-27
42,1,isabelle-claire-17939
42,1,lavallee-lise-15389
42,1,lebel-harold-15479
42,1,dube-christian-12223
42,1,leitao-carlos-j-15391
42,1,lessard-therrien-emilise-17871
42,1,mccann-danielle-17887
42,1,melancon-isabelle-16779
42,1,st-pierre-christine-1235
42,1,perry-melancon-meganne-18217
42,1,rotiroti-filomena-1171
42,1,polo-saul-15407
42,1,proulx-sebastien-5899
42,1,weil-kathleen-33
42,1,menard-nicole-113
42,1,bachand-andre-17859
42,1,benjamin-frantz-17909
42,1,belanger-gilles-17925
42,1,blais-suzanne-17825
42,1,boulet-jean-17899
42,1,simard-jean-francois-5369
42,1,guilbault-genevieve-16885
42,1,soucy-chantal-15417
42,1,jolin-barrette-simon-15359
42,1,girard-eric-17929
42,1,charest-isabelle-17845
42,1,fontecilla-andres-17953
42,1,maccarone-jennifer-17911
42,1,lecours-lucie-17949
42,1,jacques-francois-17937
42,1,picard-marc-655
42,1,dorion-catherine-17895
42,1,laframboise-mario-15357
42,1,ciccone-enrico-17943
42,1,montpetit-marie-15369
42,1,zanetti-sol-17955
42,1,gaudreault-maryse-959
42,1,schneeberger-sebastien-5909
42,1,derraji-monsef-17923
42,1,theriault-lise-1355
42,1,lefebvre-eric-16777
42,1,thouin-louis-charles-18073
42,1,jeannotte-chantale-17959
42,1,leduc-alexandre-17935
42,1,masse-manon-15421
42,1,labrie-christine-17889
42,1,marissal-vincent-17867
42,1,dufour-pierre-17823
42,1,martel-donald-12165
42,1,bussiere-robert-17921
42,1,grondin-agnes-17827
42,1,emond-jean-bernard-17857
42,1,lachance-stephanie-17835
42,1,tremblay-francois-17917
42,1,picard-marilyne-17891
42,1,tardif-marie-louise-18071
42,1,kelley-gregory-17951
42,1,arseneau-joel-17947
42,1,berube-pascal-991
42,1,julien-jonatan-17855
42,1,chassin-youri-17881
42,1,bonnardel-francois-11
42,1,lafreniere-ian-17903
42,1,lebel-sonia-17847
42,1,poulin-samuel-17831
42,1,rizqy-marwah-17883
42,1,fortin-andre-15383
42,1,roberge-jean-francois-15361
42,1,roy-nathalie-12187
42,1,lecours-isabelle-17945
42,1,fitzgibbon-pierre-17897
42,1,ghazal-ruba-17933
42,1,levesque-sylvain-12213
42,1,d-amours-sylvie-15399
39,2,l-ecuyer-charlotte-51
39,2,reid-pierre-329
39,2,ouellette-guy-549
39,2,richard-lorraine-287
