id,first_name,last_name,note,assnat_url,wikidata_id
baril-(l)-gilles-1843,Gilles,Baril,L,https://www.assnat.qc.ca/fr/deputes/baril-(l)-gilles-1843/index.html,Q519067
baril-(pq)-gilles-1845,Gilles,Baril,PQ,https://www.assnat.qc.ca/fr/deputes/baril-(pq)-gilles-1845/index.html,Q386897
barnard-edward-1847,Edward,Barnard,,https://www.assnat.qc.ca/fr/deputes/barnard-edward-1847/index.html,Q16062905
barnes-john-1849,John,Barnes,,https://www.assnat.qc.ca/fr/deputes/barnes-john-1849/index.html,Q6220759
barre-laurent-1851,Laurent,Barré,,https://www.assnat.qc.ca/fr/deputes/barre-laurent-1851/index.html,Q3219023
barrette-antonio-1853,Antonio,Barrette,,https://www.assnat.qc.ca/fr/deputes/barrette-antonio-1853/index.html,Q2857198
barrette-gaetan-15397,Gaétan,Barrette,,https://www.assnat.qc.ca/fr/deputes/barrette-gaetan-15397/index.html,Q15965478
barrette-hermann-1855,Hermann,Barrette,,https://www.assnat.qc.ca/fr/deputes/barrette-hermann-1855/index.html,Q15992322
barrette-jean-35,Jean,Barrette,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/barrette-jean-35.html,
barriere-omer-1857,Omer,Barrière,,https://www.assnat.qc.ca/fr/deputes/barriere-omer-1857/index.html,Q3351992
barthe-joseph-guillaume-1859,Joseph-Guillaume,Barthe,,https://www.assnat.qc.ca/fr/deputes/barthe-joseph-guillaume-1859/index.html,Q3184288
basinet-louis-1861,Louis,Basinet,,https://www.assnat.qc.ca/fr/deputes/basinet-louis-1861/index.html,Q6686724
bastien-cleophas-1863,Cléophas,Bastien,,https://www.assnat.qc.ca/fr/deputes/bastien-cleophas-1863/index.html,Q2980760
bastien-ludger-1865,Ludger,Bastien,,https://www.assnat.qc.ca/fr/deputes/bastien-ludger-1865/index.html,Q41020674
baxter-james-1867,James,Baxter,,https://www.assnat.qc.ca/fr/deputes/baxter-james-1867/index.html,Q59783250
beaubien-joseph-octave-1869,Joseph-Octave,Beaubien,,https://www.assnat.qc.ca/fr/deputes/beaubien-joseph-octave-1869/index.html,Q3184387
beaubien-louis-1871,Louis,Beaubien,,https://www.assnat.qc.ca/fr/deputes/beaubien-louis-1871/index.html,Q3261201
beaubien-pierre-1873,Pierre,Beaubien,,https://www.assnat.qc.ca/fr/deputes/beaubien-pierre-1873/index.html,Q3383914
beauchamp-benjamin-1875,Benjamin,Beauchamp,,https://www.assnat.qc.ca/fr/deputes/beauchamp-benjamin-1875/index.html,Q2896000
beauchamp-joseph-1877,Joseph,Beauchamp,,https://www.assnat.qc.ca/fr/deputes/beauchamp-joseph-1877/index.html,Q6281410
beauchamp-line-663,Line,Beauchamp,,https://www.assnat.qc.ca/fr/deputes/beauchamp-line-663/index.html,Q3241470
beauchemin-frederic-19307,Frédéric,Beauchemin,,https://www.assnat.qc.ca/fr/deputes/beauchemin-frederic-19307/index.html,Q114404199
beauchesne-pierre-clovis-1879,Pierre-Clovis,Beauchesne,,https://www.assnat.qc.ca/fr/deputes/beauchesne-pierre-clovis-1879/index.html,Q3382946
beaudet-elisee-1881,Élisée,Beaudet,,https://www.assnat.qc.ca/fr/deputes/beaudet-elisee-1881/index.html,Q6280714
beaudet-godefroy-1883,Godefroy,Beaudet,,https://www.assnat.qc.ca/fr/deputes/beaudet-godefroy-1883/index.html,Q59783251
beaudet-regent-l-1885,Régent L.,Beaudet,,https://www.assnat.qc.ca/fr/deputes/beaudet-regent-l-1885/index.html,Q59783252
beaudin-andre-1887,André,Beaudin,,https://www.assnat.qc.ca/fr/deputes/beaudin-andre-1887/index.html,Q2847241
beaudoin-denise-727,Denise,Beaudoin,,https://www.assnat.qc.ca/fr/deputes/beaudoin-denise-727/index.html,Q3023007
beaudoin-jean-baptiste-1889,Jean-Baptiste,Beaudoin,,https://www.assnat.qc.ca/fr/deputes/beaudoin-jean-baptiste-1889/index.html,Q16065620
beaudoin-joseph-ambroise-eusebe-1891,Joseph-Ambroise-Eusèbe,Beaudoin,,https://www.assnat.qc.ca/fr/deputes/beaudoin-joseph-ambroise-eusebe-1891/index.html,Q59783253
beaudoin-louise-293,Louise,Beaudoin,,https://www.assnat.qc.ca/fr/deputes/beaudoin-louise-293/index.html,Q3263668
beaudreau-joseph-1893,Joseph,Beaudreau,,https://www.assnat.qc.ca/fr/deputes/beaudreau-joseph-1893/index.html,Q6281411
beaudry-adrien-1895,Adrien,Beaudry,,https://www.assnat.qc.ca/fr/deputes/beaudry-adrien-1895/index.html,Q2825123
beaudry-jean-louis-37,Jean-Louis,Beaudry,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/beaudry-jean-louis-37.html,Q3166625
beaudry-jean-paul-1897,Jean-Paul,Beaudry,,https://www.assnat.qc.ca/fr/deputes/beaudry-jean-paul-1897/index.html,Q59783254
beaudry-rouville-1899,Rouville,Beaudry,,https://www.assnat.qc.ca/fr/deputes/beaudry-rouville-1899/index.html,Q7371637
beaulac-polydore-1901,Polydore,Beaulac,,https://www.assnat.qc.ca/fr/deputes/beaulac-polydore-1901/index.html,Q7226292
beaulieu-joseph-alphonse-1905,Joseph-Alphonse,Beaulieu,,https://www.assnat.qc.ca/fr/deputes/beaulieu-joseph-alphonse-1905/index.html,Q59773644
beaulieu-j-paul-1903,J.-Paul,Beaulieu,,https://www.assnat.qc.ca/fr/deputes/beaulieu-j-paul-1903/index.html,Q784597
beaulieu-mario-1907,Mario,Beaulieu,,https://www.assnat.qc.ca/fr/deputes/beaulieu-mario-1907/index.html,Q6764557
beaulne-francois-1909,François,Beaulne,,https://www.assnat.qc.ca/fr/deputes/beaulne-francois-1909/index.html,Q3083921
beaumier-yves-1911,Yves,Beaumier,,https://www.assnat.qc.ca/fr/deputes/beaumier-yves-1911/index.html,Q3573478
beaumont-louis-marie-joseph-1913,Louis-Marie-Joseph,Beaumont,,https://www.assnat.qc.ca/fr/deputes/beaumont-louis-marie-joseph-1913/index.html,Q6686476
beaupre-benjamin-1915,Benjamin,Beaupré,,https://www.assnat.qc.ca/fr/deputes/beaupre-benjamin-1915/index.html,Q4888264
beaupre-henri-1917,Henri,Beaupré,,https://www.assnat.qc.ca/fr/deputes/beaupre-henri-1917/index.html,Q59783255
beaupre-pascal-5853,Pascal,Beaupré,,https://www.assnat.qc.ca/fr/deputes/beaupre-pascal-5853/index.html,Q291298
beauregard-jean-marie-1919,Jean-Marie,Beauregard,,https://www.assnat.qc.ca/fr/deputes/beauregard-jean-marie-1919/index.html,Q59783256
beausejour-jacques-1921,Jacques,Beauséjour,,https://www.assnat.qc.ca/fr/deputes/beausejour-jacques-1921/index.html,Q59783258
bechard-claude-887,Claude,Béchard,,https://www.assnat.qc.ca/fr/deputes/bechard-claude-887/index.html,Q2977110
bedard-elzear-1923,Elzéar,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-elzear-1923/index.html,Q3051905
bedard-jean-baptiste-1925,Jean-Baptiste,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-jean-baptiste-1925/index.html,Q16822878
bedard-jean-jacques-1927,Jean-Jacques,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-jean-jacques-1927/index.html,Q59783260
bedard-joseph-ephraim-1929,Joseph-Éphraïm,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-joseph-ephraim-1929/index.html,Q59783261
bedard-joseph-hercule-1931,Joseph-Hercule,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-joseph-hercule-1931/index.html,Q59783262
bedard-joseph-isidore-1933,Joseph-Isidore,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-joseph-isidore-1933/index.html,Q6280642
bedard-marc-andre-1935,Marc-André,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-marc-andre-1935/index.html,Q117141
bedard-marcel-1937,Marcel,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-marcel-1937/index.html,Q28777706
bedard-pierre-stanislas-1939,Pierre-Stanislas,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-pierre-stanislas-1939/index.html,Q3383521
bedard-(richmond)-joseph-1941,Joseph,Bédard,Richmond,https://www.assnat.qc.ca/fr/deputes/bedard-(richmond)-joseph-1941/index.html,Q6281848
bedard-stephane-1457,Stéphane,Bédard,,https://www.assnat.qc.ca/fr/deputes/bedard-stephane-1457/index.html,Q3501650
bedard-(york)-joseph-1943,Joseph,Bédard,York,https://www.assnat.qc.ca/fr/deputes/bedard-(york)-joseph-1943/index.html,Q6281850
begin-charles-1945,Charles,Bégin,,https://www.assnat.qc.ca/fr/deputes/begin-charles-1945/index.html,Q5075950
begin-joseph-damase-1947,Joseph-Damase,Bégin,,https://www.assnat.qc.ca/fr/deputes/begin-joseph-damase-1947/index.html,Q3184218
begin-louise-1949,Louise,Bégin,,https://www.assnat.qc.ca/fr/deputes/begin-louise-1949/index.html,Q3263702
begin-paul-1951,Paul,Bégin,,https://www.assnat.qc.ca/fr/deputes/begin-paul-1951/index.html,Q3370776
beique-hortensius-1953,Hortensius,Béique,,https://www.assnat.qc.ca/fr/deputes/beique-hortensius-1953/index.html,Q15998049
beland-henri-severin-1955,Henri-Sévérin,Béland,,https://www.assnat.qc.ca/fr/deputes/beland-henri-severin-1955/index.html,Q3132053
beland-jean-louis-1957,Jean-Louis,Béland,,https://www.assnat.qc.ca/fr/deputes/beland-jean-louis-1957/index.html,Q6169430
beland-joseph-1959,Joseph,Béland,,https://www.assnat.qc.ca/fr/deputes/beland-joseph-1959/index.html,Q6281852
belanger-arthur-1961,Arthur,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-arthur-1961/index.html,Q59783265
belanger-fabien-1963,Fabien,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-fabien-1963/index.html,Q59783264
belanger-gilles-17925,Gilles,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-gilles-17925/index.html,Q56877039
belanger-guy-1965,Guy,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-guy-1965/index.html,Q3121609
belanger-jean-1967,Jean,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-jean-1967/index.html,Q6170339
belanger-joseph-gregoire-1969,Joseph-Grégoire,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-joseph-gregoire-1969/index.html,Q5612769
belanger-lucien-1971,Lucien,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-lucien-1971/index.html,Q59783268
belanger-madeleine-1973,Madeleine,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-madeleine-1973/index.html,Q28835038
belanger-paul-eugene-1975,Paul-Eugène,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-paul-eugene-1975/index.html,Q28970590
belanger-pierre-1977,Pierre,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-pierre-1977/index.html,Q3384249
belanger-raynold-1979,Raynold,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-raynold-1979/index.html,Q59783267
belanger-sonia-19281,Sonia,Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-sonia-19281/index.html,Q114409589
belisle-jean-pierre-1981,Jean-Pierre,Bélisle,,https://www.assnat.qc.ca/fr/deputes/belisle-jean-pierre-1981/index.html,Q59783269
belleau-narcisse-fortunat-39,Narcisse-Fortunat,Belleau,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/belleau-narcisse-fortunat-39.html,Q505938
bellemare-dionel-1985,Dionel,Bellemare,,https://www.assnat.qc.ca/fr/deputes/bellemare-dionel-1985/index.html,Q5279321
bellemare-gilles-1987,Gilles,Bellemare,,https://www.assnat.qc.ca/fr/deputes/bellemare-gilles-1987/index.html,Q16009202
bellemare-marc-5799,Marc,Bellemare,,https://www.assnat.qc.ca/fr/deputes/bellemare-marc-5799/index.html,Q3287805
bellemare-maurice-1989,Maurice,Bellemare,,https://www.assnat.qc.ca/fr/deputes/bellemare-maurice-1989/index.html,Q3300392
bellerose-joseph-hyacinthe-1991,Joseph-Hyacinthe,Bellerose,,https://www.assnat.qc.ca/fr/deputes/bellerose-joseph-hyacinthe-1991/index.html,Q3184311
bellet-francois-1993,François,Bellet,,https://www.assnat.qc.ca/fr/deputes/bellet-francois-1993/index.html,Q5493180
bellingham-sydney-robert-1995,Sydney Robert,Bellingham,,https://www.assnat.qc.ca/fr/deputes/bellingham-sydney-robert-1995/index.html,Q3506842
belliveau-francis-edouard-1997,Francis-Édouard,Belliveau,,https://www.assnat.qc.ca/fr/deputes/belliveau-francis-edouard-1997/index.html,Q59783271
bell-mathew-1983,Mathew,Bell,,https://www.assnat.qc.ca/fr/deputes/bell-mathew-1983/index.html,Q3298534
benjamin-francois-5849,François,Benjamin,,https://www.assnat.qc.ca/fr/deputes/benjamin-francois-5849/index.html,Q938410
benjamin-frantz-17909,Frantz,Benjamin,,https://www.assnat.qc.ca/fr/deputes/benjamin-frantz-17909/index.html,Q5492631
benoit-(decary)-hubert-5851,Hubert,Benoit,Décary,https://www.assnat.qc.ca/fr/deputes/benoit-(decary)-hubert-5851/index.html,Q3141932
benoit-ernest-41,Ernest,Benoît,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/benoit-ernest-41.html,
benoit-joseph-alderic-2003,Joseph-Aldéric,Benoît,,https://www.assnat.qc.ca/fr/deputes/benoit-joseph-alderic-2003/index.html,Q2832364
benoit-pierre-1999,Pierre,Benoit,,https://www.assnat.qc.ca/fr/deputes/benoit-pierre-1999/index.html,Q7192075
benoit-robert-2001,Robert,Benoit,,https://www.assnat.qc.ca/fr/deputes/benoit-robert-2001/index.html,Q7342035
